time,nino34
Jan 1856,0.988
Feb 1856,1.03405
Mar 1856,0.8452501
Apr 1856,0.7543001
May 1856,0.75055
Jun 1856,0.6309
Jul 1856,0.5236
Aug 1856,0.3626
Sep 1856,0.18585
Oct 1856,-0.10285
Nov 1856,-0.5723
Dec 1856,-0.79675
Jan 1857,-0.7812501
Feb 1857,-0.7547501
Mar 1857,-0.73685
Apr 1857,-0.64355
May 1857,-0.6284
Jun 1857,-0.5071
Jul 1857,-0.5152
Aug 1857,-0.47985
Sep 1857,-0.4426
Oct 1857,-0.6146001
Nov 1857,-0.5392
Dec 1857,-0.33475
Jan 1858,-0.1264
Feb 1858,0.00685
Mar 1858,-0.02495
Apr 1858,-0.16335
May 1858,-0.1826
Jun 1858,0.03075001
Jul 1858,-0.04805
Aug 1858,-0.0304
Sep 1858,-0.0576
Oct 1858,-0.1805
Nov 1858,-0.38665
Dec 1858,-0.6074
Jan 1859,-0.65175
Feb 1859,-0.5196
Mar 1859,-0.3124
Apr 1859,-0.33355
May 1859,-0.23435
Jun 1859,-0.26655
Jul 1859,-0.006300002
Aug 1859,0.09880001
Sep 1859,0.04830001
Oct 1859,-0.0158
Nov 1859,-0.16615
Dec 1859,-0.16815
Jan 1860,-0.49345
Feb 1860,-0.66715
Mar 1860,-0.68445
Apr 1860,-0.66825
May 1860,-0.50005
Jun 1860,-0.2562
Jul 1860,-0.37685
Aug 1860,-0.5266
Sep 1860,-0.52985
Oct 1860,-0.41995
Nov 1860,-0.7266501
Dec 1860,-0.6620501
Jan 1861,-0.28065
Feb 1861,-0.11715
Mar 1861,-0.5406
Apr 1861,-0.56585
May 1861,-0.65895
Jun 1861,-0.53125
Jul 1861,-0.3471
Aug 1861,-0.39125
Sep 1861,-0.60005
Oct 1861,-0.61895
Nov 1861,-0.5606
Dec 1861,-0.62435
Jan 1862,-0.652
Feb 1862,-0.55745
Mar 1862,-0.46545
Apr 1862,-0.25685
May 1862,-0.08015001
Jun 1862,-0.23695
Jul 1862,-0.2079
Aug 1862,-0.1137
Sep 1862,-0.4209
Oct 1862,-0.7739
Nov 1862,-1.20975
Dec 1862,-1.1154
Jan 1863,-0.8605
Feb 1863,-0.7754501
Mar 1863,-0.82745
Apr 1863,-0.7231
May 1863,-0.73625
Jun 1863,-0.73695
Jul 1863,-0.59135
Aug 1863,-0.37515
Sep 1863,-0.42635
Oct 1863,-0.43055
Nov 1863,-0.33315
Dec 1863,-0.26725
Jan 1864,-0.3668
Feb 1864,-0.2217
Mar 1864,-0.26205
Apr 1864,-0.2293
May 1864,-0.14585
Jun 1864,-0.008350001
Jul 1864,0.3662
Aug 1864,0.7704
Sep 1864,0.8478001
Oct 1864,0.9033
Nov 1864,0.7842
Dec 1864,0.6757
Jan 1865,0.7223501
Feb 1865,0.6931
Mar 1865,0.6162
Apr 1865,0.49675
May 1865,0.42585
Jun 1865,0.43495
Jul 1865,0.58065
Aug 1865,0.53105
Sep 1865,0.6026
Oct 1865,0.7897
Nov 1865,0.8588001
Dec 1865,0.9565001
Jan 1866,1.0683
Feb 1866,1.09415
Mar 1866,1.1535
Apr 1866,1.01345
May 1866,1.0791
Jun 1866,1.08
Jul 1866,1.0495
Aug 1866,0.8574501
Sep 1866,0.5723
Oct 1866,0.3434
Nov 1866,0.23725
Dec 1866,-0.006749999
Jan 1867,0.13185
Feb 1867,0.17235
Mar 1867,0.35255
Apr 1867,0.41085
May 1867,0.69815
Jun 1867,0.91335
Jul 1867,0.9848
Aug 1867,0.9242001
Sep 1867,0.84545
Oct 1867,0.48735
Nov 1867,0.3982
Dec 1867,0.4367
Jan 1868,0.40035
Feb 1868,0.29675
Mar 1868,0.18345
Apr 1868,0.11525
May 1868,0.28875
Jun 1868,0.29215
Jul 1868,0.3104
Aug 1868,0.3783
Sep 1868,0.4415
Oct 1868,0.77745
Nov 1868,1.0747
Dec 1868,1.08795
Jan 1869,0.9585
Feb 1869,0.75405
