RegionFAO,current_FvFmsy,IdOrig
"57,81",0.778,ABARES-BGRDRSE-1960-2011-CHING
67,0.208,ADFG-HERRTOG-1990-2010-HIVELY
67,0.177,AFSC-ALPLAICBSAI-1972-2010-STACHURA
67,0.0897,AFSC-ARFLOUNDBSAI-1970-2010-STACHURA
67,0.029331673607816505,AFSC-ARFLOUNDGA-1958-2010-STACHURA
67,0.671,AFSC-ATKABSAI-1976-2011-STACHURA
67,0.0,AFSC-BKINGCRABPI-1960-2008-JENSEN
67,0.0483,AFSC-DSOLEGA-1978-2009-STACHURA
67,0.546,AFSC-DUSROCKGA-1973-2010-STACHURA
67,0.166,AFSC-FLSOLEBSAI-1974-2010-STACHURA
67,0.05135310528416939,AFSC-FLSOLEGA-1978-2010-STACHURA
67,0.09271886508986932,AFSC-GHALBSAI-1960-2009-STANTON
67,0.29,AFSC-NROCKBSAI-1974-2011-STACHURA
67,0.3640653283706551,AFSC-NROCKGA-1959-2010-STACHURA
67,0.231,AFSC-NRSOLEEBSAI-1975-2012-HIVELY
67,0.774,AFSC-PCODBSAI-1964-2013-CHING
67,0.5697302267446299,AFSC-PCODGA-1977-2014-HIVELY
67,0.391,AFSC-PERCHEBSAI-1960-2011-STACHURA
67,0.5305903641130633,AFSC-POPERCHGA-1959-2010-STACHURA
67,0.577,AFSC-REXSOLEGA-1979-2011-HIVELY
67,0.368,AFSC-REYEROCKBSAI-1974-2011-STACHURA
67,0.179,AFSC-REYEROCKGA-1974-2010-STACHURA
67,1.05,AFSC-RKCRABBB-1960-2008-JENSEN
67,0.0,AFSC-RKCRABPI-1981-2009-JENSEN
67,0.585,AFSC-SABLEFEBSAIGA-1958-2010-STACHURA
67,0.373,AFSC-SNOWCRABBS-1978-2013-HIVELY
67,0.0,AFSC-TANNERCRABBSAI-1949-2013-HIVELY
67,0.0206,AFSC-WPOLLAI-1976-2013-CHING
67,0.719,AFSC-WPOLLEBS-1964-2013-CHING
67,0.414,AFSC-WPOLLGA-1970-2014-HIVELY
67,0.615,AFSC-YSOLEBSAI-1949-2010-STACHURA
27,0.739,AFWG-CODNEAR-1946-2011-CHING
27,0.794,AFWG-GHALNEAR-1960-2010-NEUBAUER
27,4.46,AFWG-GOLDREDNEAR-1983-2010-NEUBAUER
27,1.13,AFWG-HADNEAR-1947-2012-CHING
27,0.945,AFWG-POLLNEAR-1957-2012-CHING
"21,31",0.282,ASMFC-ATLCROAKMATLC-1973-2002-STANTON
21,0.528,ASMFC-LOBSTERGB-1981-2007-STANTON
21,1.4,ASMFC-LOBSTERGOM-1981-2007-STANTON
21,1.1,ASMFC-LOBSTERSNE-1981-2007-STANTON
21,0.61,ASMFC-PANDALGOM-1960-2009-IDOINE
21,0.568,CBP-BCRABCHESB-1990-2010-HIVELY
88,0.322,CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN
58,0.76,CCSBT-SC-SBT-1950-2011-CHING
37,2.76902819783154,CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI
37,1.07,CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI
"57,81",1.07,CSIRO-BIGHTREDSE-1958-2007-FULTON
"57,81",1.28,CSIRO-DEEPFLATHEADSE-1978-2007-FULTON
"57,81",0.0508,CSIRO-GEMFISHSE-1966-2007-FULTON
"57,81",1.88,CSIRO-MORWONGSE-1913-2007-FULTON
"57,81",2.3,CSIRO-NZLINGESE-1968-2007-FULTON
57,0.219,CSIRO-NZLINGWSE-1968-2007-FULTON
57,0.363,CSIRO-OROUGHYCASCADE-1987-2006-FULTON
"57,81",1.9,CSIRO-OROUGHYSE-1978-2007-FULTON
81,0.194,CSIRO-PTOOTHFISHMI-1975-2010-FAY
